"CD_FOR","NM_RAZAO","NM_FANTASIA","TP_FOR","ST_SITUACAO","TP_FORNECIMENTO","NR_CGC_CPF","NM_USUINC","DT_USUINC","NR_INSC_EST","DT_ULT_COMPRA","VL_ULT_COMPRA","VL_ACUM_COMPRA","OB_FOR","NM_USUALT","DT_USUALT","DS_EMAIL_NFE","NR_INSC_MUNICIPAL","CD_TP_ATIVIDADE"
4190,PARANAPANEMA S.A.,PARANAPANEMA,J,A,M,60398369000479,MARIO,2012-04-04 07:15:53,"84614926",,,-20168.82,,,,fbarbosa@paranapanema.com.br,,
4203,DISALLI  IND. E COM. DE ALIMENTOS LTDA,DISALLI   IND.,J,A,M,560739000158,MARIO,2012-04-19 16:19:52,"41803851",,,-329.2,,,,marcos@disalli.com.br,,
4204,A L CALCADOS LTDA EPP,A L CALCADOS,J,A,M,97548705000180,MARIO,2012-04-23 13:54:57,"271323051",,,-192,,,,escritorio@samarra.com.br,,
4205,BR COMÉRCIO E DISTRIBUIÇÃO DE BRINDES LTDA.,BR DISTRIBUIDORA LTDA,J,A,M,8345486000101,DAVID,2012-05-03 07:58:06,"149453621110",2012-06-25 00:00:00,270,270,,,,vendasbrcomercio@gmail.com,,
4206,COMANDO GRAFICO SERVIÇOS E EDITORA LTDA ME,COMANDO,J,A,M,8449648000151,DAVID,2012-05-03 13:32:22,ISENTO,,,,,DAVID,2012-05-03 13:34:25,,"10001569",
4207,EPST - EMPRESA PRESTADORA DE SERVIÇOS E TRANSPORTES LTDA,TUTO TRANSPORTES,J,A,T,2617709000247,DAVID,2012-05-03 13:43:06,"336500006116",,,,,,,,,
4208,WASTE SERVICES BRASIL LTDA ME,TRANSWASH - WASTE SERVICES,J,A,M,9613044000161,DAVID,2012-05-07 08:02:34,ISENTO,,,,,ALBA,2017-12-12 10:21:02,,"10003424",
4209,MARCIO ANDREY PEREIRA SOUZA ME,COISAS NOSSAS,J,A,M,8188536000194,MARIO,2012-05-08 15:17:14,"271166541",,,-1562.63,,,,contato@coisasnossas-se.com.br,,
4210,CARLOS HENRIQUE LEITE CHAVES,LASER & CIA,J,A,M,11359436000198,MARIO,2012-05-11 13:56:59,"84958501",,,-136.5,,,,leite703@hotmail.com,,
4211,ARTE GALENICA FARMACIA DE MANIPULAÇAO LTDA,ARTE GALENCIA,J,A,M,4951272000128,DAVID,2012-05-14 08:03:35,"271059095",,,-3228.6,,DAVID,2019-05-13 14:49:48,artegalenica@gmail.com,,
4212,AVERY DENNISON DO BRASIL LTDA - PERNAMBUCO,AVERY DENNISON - PERNAMBUCO,J,A,M,43999630001287,DAVID,2012-05-18 13:25:02,"045877823",2015-07-21 00:00:00,13157.95,165044.67,,,,,,
4214,AVIGRO AVICOLA AGROINDUSTRIAL LTDA,AVIGRO,J,A,M,16127441000199,MARIO,2012-05-24 13:45:07,"26152167",,,-3356.78,,,,avigro@avigro.com.br,,
4215,PARAÍSO DA BAHIA EMPREENDIMENTO & HOTELEIRO LTDA,HOTEL LEISURE & BEACH,J,A,M,,CANTONIO,2012-05-28 16:01:51,"09278844000173",,,,,ANDREZA,2013-10-14 14:04:55,,"81114600156",
4218,PAULO MELKOSIAN ETIQUETAS ME,PAULO MELKOSIAN ETQ,J,A,M,11437267000167,MARIO,2012-06-01 09:09:08,"492569950114",,,-3677.72,,MARIO,2012-06-01 09:15:18,melko@ig.com.br,,1
4219,UPS SCS LOGISTICA BRASIL LTDA,UPS SCS,J,A,M,462691000145,DAVID,2012-06-01 09:15:50,"114421705116",,,,,,,,,
4220,MARLENE OLIVEIRA CUNHA,D+ DOCES,J,A,M,5971234000108,MARIO,2012-06-01 12:07:26,"62772884",,,-916.98,,MARIO,2012-06-01 12:10:53,claudiodmaisdoces@hotmail.com,,
4221,DAPONTE ETIQUETAS ADESIVAS LTDA,DALPONTE,J,A,M,,DAVID,2012-06-19 08:10:59,"52349241",,,,,,,,,
4222,BRASFRUT FRUTOS DO BRASIL LTDA,BRASFRUT,J,A,M,32677726000150,DAVID,2012-06-26 09:28:43,"26277501",,,-1895.82,,,,compras@brasfrut.com.br,,16
4223,BEAUTY FLORA INDUSTRIA E COM DE COSMETICOS LTDA,BEAUTY FLORA,J,A,M,8647033000130,DAVID,2012-06-27 07:30:47,"73272138",,,,,DAVID,2013-02-06 12:00:42,,,
4224,CONIN CONSULTORIA LTDA,CONIN,J,A,M,41985078000190,MARIO,2012-06-28 14:52:29,"70476360",,,-100,,,,conin@terra.com.br,,
4225,CHARLLYNE CERQUEIRA MOREIRA,CHARLLYNE MOREIRA,F,A,M,1783926503,DAVID,2012-07-03 16:18:52,ISENTO,,,,,,,,,
4226,GUIDO HAMILTON PELEGRINI PEREIRA ME,GUIDO HAMILTON PELEGRINI,J,A,M,8467225000164,MARIO,2012-07-04 18:15:01,"72680127",,,-47.8,,,,contato@saborcongelado.com.br,,
4227,KILLING BAHIA TINTAS E ADESIVOS,TINTAS KILLING,J,A,M,7992099000102,MARIO,2012-07-04 18:22:57,"68929900",,,-1008,,,,girlaene@killing.com.br,,
4228,RESTAURANTE TEMPERO PAULISTA - ME,RESTAURANTE TEMPERO PAULISTA,J,A,M,14834101000172,MARIO,2012-07-05 10:54:09,"008528241ME",,,,REGINA 8179-0469,ALBA,2014-10-08 13:20:27,SR.JORGE 8612-6678 ------- CHEQUE NOMINAL A: ANDREA FADUL DE MIRANDA,,
4229,CENTER CABOS ELETRO ELETRONICOS LTDA,CENTER CABOS,J,A,M,4473375000120,DAVID,2012-07-07 08:58:29,"55402275",2013-01-02 00:00:00,615,1850,,,,,,
4230,QUIMICA JVC,QUIMICA JVC,J,A,M,96792809000172,DAVID,2012-07-07 12:24:37,"37069870",,,,,,,,,
4231,DEGRES INDUSTRIA E COMERCIO DE PISOS E REVESTIMENTOS LTDA -,DEGRES ACABAMENTO E DECORAÇÃO,J,A,M,8909874000178,MARIO,2012-07-11 12:30:22,"074357700",,,-592,,,,reinaldo@degres.com.br,,
4232,TKB ERICHSEN COMERCIAL E TECNICA LTDA,TKB ERICHSEN,J,A,M,151537000152,DAVID,2012-07-12 17:33:41,"115013390119",2012-07-12 00:00:00,120,120,,,,,,
4233,CARBALLO FARO E CIA LTDA,PERINI,J,A,M,15145444002055,MARIO,2012-07-18 15:51:36,"84129628",,,-594,,,,emerson@cfimport.com,,
4234,MENDES CAMINHA EMPREENDIMENTOS HOTELEIROS LTDA,MENDES CAMINHA,J,A,M,12864161000102,CANTONIO,2012-07-24 09:58:00,ISENTO,,,,,,,,,
4235,UNIAO DOS ESTUDANTES DO BRASIL,UEB,J,A,M,5501627000140,DAVID,2012-07-24 11:45:13,ISENTO,,,-770,,,,marciomilton@hotmail.com,,
4236,PAULO ROBERTO VIANA DA GUARDA,PAULO ROBERTO,J,A,M,7254456000550,DAVID,2012-07-24 11:48:17,"007210280",,,-150,,,,jaqueline_nutricao@hotmail.com,,
4237,EXPRESSO BR500 TRANSPORTES LTDA.,EXPRESSOBR,J,A,T,7814918000113,MARIO,2012-07-24 14:58:47,ISENTO,,,,,CANTONIO,2016-04-25 08:54:41,,,
4238,DOPEC INDUSTRIA E COMERCIO LIMITADA,DOPEC,J,A,M,4259490000287,DAVID,2012-07-26 07:06:58,"55038333",,,,,,,,,
4239,O.M. RECREATIVO ADM. E LOCACAO LTDA,O.M. RECREATIVO,J,A,M,481472000375,DAVID,2012-08-01 14:32:23,"41611421",,,-470.5,,DAVID,2012-08-01 14:50:49,omadministracao@uol.com.br,,
4240,TERZIAN LTDA,TERZIAN,J,A,M,4128801000198,CANTONIO,2012-08-02 12:47:24,"116212909112",2020-02-04 00:00:00,1775.03,88829.36,,DAVID,2019-02-19 10:02:04,renato.franca@terzian.com.br,,
4241,E DOS SANTOS GAONÇALVES MAT ESCRIT E LIMPEZA,LIMPEC,J,A,M,11313580000193,DAVID,2012-08-03 10:28:55,"084785666",2012-10-04 00:00:00,348.06,745.76,,,,,,
4242,GLASS MAXI IND.DE VIDROS BA LTDA,GLASS MAXI,J,A,M,4980167000117,CANTONIO,2012-08-06 09:48:47,"57362980",,,-1301.52,,,,compras.glassmaxi@hotmail.com,,
4243,RUCULA INDUSTRIA E COMERCIO DE MODA LTDA,RUCULA,J,A,M,13924397000150,DAVID,2012-08-06 10:13:16,"12966808",,,-42,,,,contato@vitorinocampos.com.br,,
4244,OMNI-LIGHT SOLUCOES EM ILUMINACAO LTDA,OMINI-LIGHT,J,A,M,4612361000220,DAVID,2012-08-06 10:16:17,"100313200",,,-133.5,,,,financeiro2@omnelight.com.br,,
4245,VERONICA OLIVEIRA SOARES SANTOS,COIL,J,A,M,13081565000192,DAVID,2012-08-08 15:24:41,"11141435",2013-09-02 00:00:00,91,171,,,,,,
4248,SHERWIN-WILLIAMS BRASIL IND E COM LTDA,SHERWIN-WILLIAMS,J,A,M,60872306000755,DAVID,2012-08-13 08:32:34,"56006797",2012-08-13 00:00:00,266.99,266.99,,,,,,
4249,GAMATUR LTDA,GAMATUR LTDA,J,A,M,10617553000141,DAVID,2012-08-13 13:52:24,ISENTO,,,,,,,,,
4250,SET COMÉRCIO E IMPORTAÇÃO LTDA.,SET,J,A,M,2409004000153,DAVID,2012-08-15 15:41:37,"48393094",2014-01-29 00:00:00,131,11566.48,,,,,"340430",
4252,LASERFLEX MATRIZES GRAFICAS LTDA,LASERFLEX,J,A,M,203587000136,DAVID,2012-08-24 14:15:17,"1370200099",,,,,,,,,
4253,CORONA BRAASWIL IND. COM E REPRES LTDA,CORONA BRASIL,J,A,M,,DAVID,2012-08-29 13:43:49,ISENTO,2012-08-29 00:00:00,79.2,79.2,,,,,,
4254,LA GERI IND E COM PROD ALIMENTICIOS LTDA,LAGERI,J,A,M,10992084000140,DAVID,2012-08-30 13:31:16,"83588585",,,,,,,,,
4255,NATURA COSMETICOS,NATURA,J,A,M,71673990003001,DAVID,2012-08-30 14:05:50,"82328791",,,-5830.79,,DAVID,2012-08-30 14:40:11,thiagocolombo@natura.net,,
4256,COSMA DO BRASIL PRODUTOS E SERV AUTOMOTIVOS LTDA,COSMA DO BRASIL,J,A,M,2591818000402,DAVID,2012-08-30 16:02:53,"006238812",,,-3234.2,,,, Sbezerra@cosma.com,,
4258,I. BARROS PAIXAO,PONTO A PONTO,J,A,T,7903870000110,DAVID,2012-08-31 12:59:29,"068584733",,,,,,,joildo@ig.com.br,,
4259,RIBEIRO S/A COMERCIO DE PNEUS,PNEUMAR,J,A,M,75308551005690,DAVID,2012-09-04 13:48:40,"014698705",2012-10-22 00:00:00,746,2363,,,,,,
4260,SANSUY S/A INDUSTRIA DE PLASTICOS,SANSUY,J,A,M,14807945000124,DAVID,2012-09-05 15:16:07,"02082206",,,-568.48,,DAVID,2013-04-09 16:11:14,nfe.ba@sansuy.com.br,,
4261,WSN PLASTICOS E FERRAMENTARIA LTDA - ME,WSN,J,A,M,5391814000118,DAVID,2012-09-06 14:07:58,"454278827118",2012-09-18 00:00:00,1925,1925,,DAVID,2012-09-06 14:15:11,wsn.plasticos@terra.com.br,,
4262,DEALERS COMERCIO E SERVICOS LTDA - ME,DEALERS COMERCIO E SERVICOS,J,A,M,13184330000126,CANTONIO,2012-09-18 15:51:06,"11764498",,,-90,,,,dealers.cs@gmail.com,,
4263,INDÚSTRIA E COMÉRCIO DE VIDROS PRINCESA LTDA EPP,PRINCESA VIDROS,J,A,M,10535673000108,DAVID,2012-09-19 16:02:40,"271245247",,,-1000,,,,compras-princesavidros-se@hotmail.com,,
4264,SATS ALIMENTOS CONGELADOS,ICE FOOD ALIMENTOS,J,A,M,12291859000186,DAVID,2012-09-19 16:20:19,"089262814",,,,,,,sats.bahia@hotmail.com,,
4265,KOFRE REP. E COM. DE TELEC. LTDA,KOFRE,J,A,M,34303693000103,CANTONIO,2012-09-25 15:26:20,"27401169",,,-560,,,,claudiadias@kofre.com.br,,
4266,TELEVISAO BAHIA LTDA,TV BAHIA,J,A,M,13425269000161,CANTONIO,2012-09-25 16:54:29,"23172519",,,-750.03,,CANTONIO,2012-09-25 16:55:22,djalma.santos@redebahia.com.br,,
4171,INDUSTRIA METALURGICA PAIS E FILHO LTDA EPP,METALURGICA LIDER,J,A,M,5403887000182,DAVID,2012-03-07 08:32:24,"59012247",,,,,,,,,
4172,"UNI PAPELARIA, LIMPEZA E INFORMATICA",UNI,J,A,M,10784799000108,MARIO,2012-03-07 16:45:49,"82713946",2013-03-04 00:00:00,409.69,409.69,,,,,,
4173,E.M.C TRANSPORTES LTDA,VAI VEM,J,A,T,4470083000214,DAVID,2012-03-08 16:07:36,"65160618",,,,,,,vaivem_@hotmail.com,,
4175,NILO MENDES DA COSTA NETO,NILO,J,A,M,13350873000176,ANDREZA,2012-03-12 15:38:18,ISENTO,,,,,,,,,
4193,TECON SALVADOR,TECON SALVADOR S/A,J,A,M,3642342000101,MARIO,2012-04-12 18:36:18,ISENTO,,,-1605.85,,DAVID,2018-12-06 08:03:12,argu@teconsalvador.com.br,,
4194,FUNDAÇÃO DE APOIO A PESQUISA E EXTENSÃO,FAPEX,J,A,M,14645162000191,MARIO,2012-04-12 18:42:02,"70416735",,,-2891,,,,glaicineyromao@han.med.br,,
4196,RAJAN TRANSPORTES COMERCIO E INDUSTRIA LTDA,RAJAN,J,A,T,13579271000195,DAVID,2012-04-18 17:06:22,"01066944",,,,,,,comercial@rajan.com.br,"02347200194",
4197,SOUZA E OLIVEIRA ARTEFATOS DE ALUMINIO LTDA,LÍDER ARTEFATOS ALUMINIO,J,A,M,5257764000180,MARIO,2012-04-18 18:27:26,"58150326",,,-1307.52,,MARIO,2012-04-19 06:32:58,bernade@lideraluminio.com.br,,
4198,FLOAR QUÍMICA-INDÚSTRIA E COMÉRCIO DE PRODUTOS DE,FLOAR QUÍMICA,J,A,M,5066732000106,MARIO,2012-04-19 06:42:19,"57706492",,,-86.2,,,,floarquimica@gmail.com,,
4199,ANADRI INDUSTRIA TEXTIL E COMÉRCIO LTDA,ANADRI INDUSTRIA E COMÉRC,J,A,M,11751503000115,MARIO,2012-04-19 07:03:12,"271294523",,,-187,,,,"10anadri@gmail.com",,
4200,E. DE OLIVEIRA NUNES & CIA. LTDA ME,GRAFITE,J,A,M,6056645000122,MARIO,2012-04-19 07:14:39,"063006855",,,-115.5,,,,r.bnunes@hotmail.com,,
4213,B.A. PLAST IND. E COMERCIO DE PLASTICOS LTDA,EBF,J,A,M,2243550000329,MARIO,2012-05-23 12:08:35,"64041594",,,-2880,,,,administrativo.ba@ebfcapacetes.com.br,,
4216,CEPED COMERCIO E INDUSTRIA LTDA,CEPED,J,A,M,14076889000871,MARIO,2012-05-30 13:07:26,"53379067",2012-05-30 00:00:00,305.85,305.85,,,,,,
4217,MAGIA INDUSTRIA DE COSMETICOS LTDA,MAGIA,J,A,M,6540279000182,MARIO,2012-05-30 15:23:41,"64150420",,,,,,,,,
4246,CASA DAS FARDAS COMECIO DE CONFECÇÕES LTDA,CASA DAS FARDAS,J,A,M,34438853000393,CANTONIO,2012-08-10 10:15:54,"44885119",2017-09-19 00:00:00,615.6,4656,,,,,,
4247,T E A CONSTRUÇAO PRÉ FABRICADA,T E A,J,A,M,1301612000500,DAVID,2012-08-10 10:37:18,"69324522",,,,,,,,,
4257,LABCHECAP - LABORATORIOS DE ANALISES CLINICAS LTDA.,LABCHECAP LABORATORIOS DE,J,A,M,13503479000120,DAVID,2012-08-31 09:31:18,"70461121",,,-2002,,,,fredjorge_@hotmail.com,,
4267,SIEGWERK BRAASIL IND TINTAS LD,SIEGMERK,J,A,M,7495017000963,DAVID,2012-09-26 09:49:09,"398094163117",2013-02-04 00:00:00,1580.65,2547.5,,,,,,
4268,CLICHERIA BLUMENAU VALINHOS,CLICHERIA BLUMENAU,J,A,M,83778274000648,DAVID,2012-09-26 10:29:06,"708063610117",,,,,,,,,
4269,VIVO S.A,VIVO,J,A,M,2449992036789,DAVID,2012-09-26 12:39:12,"48002420",,,,,DAVID,2012-09-26 12:42:20, mrrosa@vivo.com.br,,
4270,MARIA JOSE L. OLIVEIRA ME,ROUPAGEM,J,A,M,14149225000119,CANTONIO,2012-09-26 15:02:26,"009709564",,,-572.8,,,,j_lemos07@hotmail.com,,
4271,EXECUTE COMPUTADORES LTDA,EXECUTE,J,A,M,3611443000107,DAVID,2012-09-27 15:13:45,"062982508",,,-638.61,,DAVID,2012-09-27 15:30:02,compras@execute.com.br,,
4272,LINHA VERDE INDUSTRIA E COMERCIO,ATABAK,J,A,M,12909583000157,MARIO,2012-09-27 18:13:42,"017706784",,,-52.5,,,,ataback@uol.com.br,,
4273,BELLYS INDUSTRIA E COMERCIO DE COSMETICOS LTDA,BELLYS,J,A,M,5834330000104,DAVID,2012-10-04 15:22:31,"62232675",,,-68.6,,CANTONIO,2012-11-23 07:22:12,bellyscosmeticos@gmail.com,,
4274,KS SANTOS CONFECCOES LTDA ME,GIROS CASUAL,J,A,M,14547803000175,CANTONIO,2012-10-11 10:18:28,"14538892",,,-500,,,,armandoff@gmail.com,,
4275,PROSER-INSTITUTO PARA DESENV INTEGRAL DO SER LTDA - ME,PROSER,J,A,M,13059879000199,DAVID,2012-10-18 09:32:44,ISENTO,,,,,,,,"37226000166",
4276,CNE INFORMATICA LTDA,CNE INFORMATICA,J,A,M,2266744000188,CANTONIO,2012-10-22 11:54:24,"47769926",,,-450,,,,comprascne@hotmail.com,,
4277,TRANSPORTADORA ASA DE PRATA LTDA,ASA DE PRATA,J,A,T,11317047000280,CANTONIO,2012-10-22 13:44:58,"026993452",,,,,,,operacionalba@asadeprata.com.br,,
4278,CLAUDIO MAGELA PATRICIO - ME,FARMACIA SAMARA,J,A,M,5482912000160,DAVID,2012-10-23 09:26:13,"059024109",,,,,,,,,
4279,ARTPEL INDUSTRIA E COMERCIO LTDA,ARTPEL,J,A,M,2727687000197,DAVID,2012-10-23 15:26:46,"49367038",2018-08-15 00:00:00,1161.2,85942.05,,,,,,
4280,SECRETARIA DA FAZENDA DO ESTADO DA BAHIA,SEFAZ,J,A,M,13937073000156,CANTONIO,2012-10-26 08:59:45,ISENTO,,,-5500,,,,sefazcomap@sefaz.ba.gov.com.br,,
4282,EMPRESA GRAFICA DA BAHIA,EMPRESA GRAFICA DA BAHIA,J,A,M,15257819000106,CANTONIO,2012-10-30 09:29:11,"000949396",,,-690,,,,compras@egba.gov.br,,
4283,DELMONDEZ COMERCIO DE CONFECÇÕES LTDA,VIVA,J,A,M,7504318000159,DAVID,2012-10-30 14:33:32,"66747850",,,,,,,,,
4284,REPLAC INOVACAO LTDA,REPLACINOVACAO,J,A,M,9067965000176,CANTONIO,2012-11-05 15:05:27,"75116643",,,-184,,,,comercial@replacinova.com.br,,
4285,A & T JOIAS ALTERNATIVAS LTDA,A & T SEMI JOIAS,J,A,M,963586000190,DAVID,2012-11-07 08:13:29,"43231863",,,,,,,,,
4286,COMERCIO E SERVIÇOS DE INFORMATICA LTDA,JM COMPUTADORES,J,A,M,9611400000108,DAVID,2012-11-07 08:19:09,"077427033",,,,,,,,,
4287,PETROLEO BRASILEIRO S A PETROBRAS,PETROBRAS - AM,J,A,M,33000167111876,CANTONIO,2012-11-07 09:24:36,"041964713",,,-6708.47,,,,paulamichelle.atp@petrobras.com.br,,
4288,S C PINTO DA SILVA - ME,RESTAURANTE E PIZZARIA O BAIANÃO,J,A,M,16384821000109,DAVID,2012-11-13 13:45:26,"102655399",,,,,,,,,
4289,J. DA SILVA SOARES JUNIOR,J. DA SILVA,J,A,M,10995839000160,DAVID,2012-11-14 17:06:03,ISENTO,,,,,,,,"410861",
4290,LOGIN INFORMATICA COM E REP. LTDA,LOGIN INFORMATICA COM E REP. LTDA,J,A,M,66716000868,DAVID,2012-11-14 17:18:04,"78751619",2019-07-22 00:00:00,1326,6739.07,,ALBA,2019-06-12 08:12:36,,,
4291,COMPRESS PRODUTOS COMPRESIVOS HOSPITALARES LTDA,COMPRESS,J,A,M,65939142000326,DAVID,2012-11-14 17:54:17,"626723663111",,,,,,,,,
4292,NIKKE INDUSTRIA E COMERCIO LTDA,SIEGEN PRODUKTS,J,A,M,4540912000107,DAVID,2012-11-20 18:03:52,"271058153",,,,,,,,,
4293,MARCOS OLIVEIRA SANTOS EPP,AGROMARCA,J,A,M,11402822000115,CANTONIO,2012-11-23 07:10:12,"085098280",,,-375.39,,CANTONIO,2012-11-23 07:36:02,marinossjr@ig.com.br,,
4294,CEAB SUPERMERCADOS LTDA ME,SUPERMERCADO COMPRE BEM,J,A,M,9071894000185,DAVID,2012-11-26 13:31:36,"075137948",,,,,,,,,
4295,J A COM VAREJISTA DE INF LTDA ME,PAM BMI,J,A,M,9017469000108,CANTONIO,2012-11-29 16:55:34,"74864300",,,-207,,,,francisco@pambmi.com.br,,
4296,BRUNO LINGERFELT VERAS -ME,KLEBER JOIAS,J,A,M,4918378000120,DAVID,2012-11-29 17:59:55,"57007326",,,,,,,,,
4297,ATS COMERCIO E SERV EM MANUTCOMERCIAL,ALTEC SERVICE,J,A,M,15327769000196,DAVID,2012-12-04 14:03:52,"100767072",,,,,,,,,
4298,CONTEMP INDUSTRIA COMERCIO E SERVIÇOS LTDA,CONTEMP,J,A,M,53543047000168,MARIO,2012-12-04 16:14:27,"636085233117",,,,,,,,,
4299,LABSYNTH PRODUTOS PARA LABORATORIO LTDA,LABSYNTH,J,A,M,51462471000152,DAVID,2012-12-07 15:07:12,"286056465111",2012-12-21 00:00:00,1058.64,1058.64,,,,,,
4300,VALEO SISTEMAS AUTOMOTIVOS LTDA,TERMICO MOTOR,J,A,M,57010662002022,DAVID,2012-12-11 11:42:08,"54331031",,,-1668.65,,,,nfe-valeo@fornecedor.neogrid.com,,
4301,CAICK COMERCIO E MATERIAIS DE SERIGRAFIA LTDA,CENTRAL DO SILK,J,A,M,2153572000136,DAVID,2012-12-11 13:28:23,"47563366",2012-12-11 00:00:00,200,200,,,,,,
4302, ISIS CAROLINE TRAVESSA OLIVEIRA,ISIS CAROLINE,F,A,M,943096200,DAVID,2012-12-11 14:43:32,"0",,,,,,,,,
4303,BAHIA SOFT FILTROS COM E SERV LTDA,BAHIA SOFT FILTROS,J,A,M,16957855000145,DAVID,2012-12-13 12:47:09,"104394595",2019-09-03 00:00:00,360,4272.5,,,,,,
4304,LUCINEIDE DE JESUS SANTOS,LUCINEIDE DE JESUS SANTOS,F,A,M,192151509,MARIO,2012-12-17 11:25:01,RG 0934405107,,,,,ALBA,2020-01-27 16:05:45,,,
4305,JOSUEL DIAS DA SILVA,JOSUEL,F,A,M,5781206582,MARIO,2012-12-17 11:34:43,RG 1573003581,,,,,,,,,
4306,DANIEL SANTOS DE SOUSA,DANIEL SANTOS,F,A,M,3298196584,MARIO,2012-12-17 11:39:56,RG 1143602439,,,,,,,,,
4307,LAVINE NUNES MOREIRA,LAVINE NUNES,F,A,M,3138636527,MARIO,2012-12-17 11:57:04,RG 1111670358,,,,,,,,,
4308,ALEXANDRO ROGERIO ROCHA DE SOUZA,ALEXANDRO ROGERIO ROCHA DE SOUZA,F,A,M,78910200510,MARIO,2012-12-17 12:11:37,RG 928258696,,,,,ALBA,2020-01-27 16:31:39,,,
4309,RAMON ALMEIDA BORGES,RAMON ALMEIDA,F,A,M,4911868511,MARIO,2012-12-17 12:18:03,RG 1144801508,,,,,,,,,
4310,EMANUEL LUAN DE OLIVEIRA LADEIRA,EMANUEL LUAN,F,A,M,39843681860,MARIO,2012-12-17 12:26:33,RG 521028565,,,,,,,,,
4311,TROPICALIA IND E DISTRIBUICAO DE ALIM LTDA,TROPICALIA,J,A,M,14324338000103,DAVID,2012-12-19 16:33:47,"13786492",,,,,,,,,
4312,PARP COM VAREJISTA DE AUTO PEAS,FORTE,J,A,M,5872455000110,DAVID,2012-12-20 19:07:56,"62423196",2012-12-20 00:00:00,76.7,76.7,,,,,,
4313,CARLOS JORGE ALMEIDA DOREA,EXTINTOR,J,A,M,14900973000191,DAVID,2012-12-26 13:40:00,"008794589",2012-12-26 00:00:00,715,715,,,,,,
4314,ITAGUARY AGENCIAMENTO TRANSPORTES CARGAS LTDA,ITAGUARY,J,A,T,69907541000102,DAVID,2012-12-27 16:48:48,"019848374",,,,,DAVID,2012-12-27 17:12:25,,,
4315,MUNDI JOIAS LTDA,MUNDI JOIAS,J,A,M,12612242000115,CANTONIO,2012-12-28 10:04:26,"80793652",,,-224.4,,,,mundijoias@mundijoias.com.br,,
21,AVERY DENNISON DO BRASIL LTDA,AVERY DENNISON DO BR,J,A,M,43999630000124,IMPORTACAO,2011-09-14 00:00:00,"714004082111",2020-03-11 00:00:00,22194.97,7748346.8,,admin,2020-05-29 14:04:40,guilherme.filho@averydennison.com,,
31,FLINT GROUP TINTAS E FOTOPOLIMEROS S.A.,FLINT,J,A,M,4979806000124,IMPORTACAO,2011-09-14 00:00:00,"9025494200",2020-02-19 00:00:00,720.61,429214.47,br.sac.nw@gmail.com,DAVID,2019-08-01 13:09:03,br.sac.nw@flintgrp.com,,
41,"3M DO BRASIL LTDA","3M",J,A,M,45985371000108,IMPORTACAO,2011-09-14 00:00:00,"671000090114",2020-02-14 00:00:00,3336.31,238324.53,,DAVID,2019-02-19 09:24:18,rsilvademoraes@mmm.com,,
